,layer,feature,indirect_effect,prompt_str,response_str,node_type,absolute_ie
4185,0,4185,0.6217129826545715,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.6217129826545715
160992,6,8928,0.4665363132953644,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.4665363132953644
129873,5,3153,0.46141308546066284,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.46141308546066284
64802,2,14114,0.4291919469833374,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.4291919469833374
199876,7,22468,0.42560437321662903,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.42560437321662903
216236,8,13484,0.4172497093677521,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.4172497093677521
257061,10,3621,0.40931713581085205,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.40931713581085205
108149,4,6773,0.3832970857620239,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.3832970857620239
289518,11,10734,0.3633362054824829,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.3633362054824829
76357,3,325,0.3284198045730591,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.3284198045730591
246685,9,18589,0.32198044657707214,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.32198044657707214
165153,6,13089,-0.2673148214817047,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.2673148214817047
142135,5,15415,-0.24011050164699554,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.24011050164699554
195926,7,18518,-0.2312580943107605,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.2312580943107605
59528,2,8840,-0.22035372257232666,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.22035372257232666
122141,4,20765,-0.2133176028728485,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.2133176028728485
65467,2,14779,-0.19029328227043152,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.19029328227043152
229817,9,1721,-0.18430614471435547,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.18430614471435547
102738,4,1362,-0.1756490170955658,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.1756490170955658
145577,5,18857,-0.17102064192295074,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.17102064192295074
69217,2,18529,0.16663961112499237,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.16663961112499237
30292,1,4948,-0.16576766967773438,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.16576766967773438
197891,7,20483,-0.1657448261976242,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.1657448261976242
27081,1,1737,0.16429075598716736,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.16429075598716736
298867,11,20083,-0.15832525491714478,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.15832525491714478
68376,2,17688,-0.15609845519065857,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.15609845519065857
166928,6,14864,-0.1497049629688263,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.1497049629688263
1206,0,1206,0.1495141237974167,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.1495141237974167
225182,8,22430,-0.1444370299577713,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.1444370299577713
26333,1,989,0.14374257624149323,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature,0.14374257624149323
